edge_cursor,release_tag,release_committed_at,is_prerelease,engine_commit
NTg,v0.2.11,2018-04-10T21:27:53Z,false,6474647f5210a968d186901cc511153ec442e897
NTk,v0.3.0,2018-04-12T23:17:26Z,false,8a6e64a8ef09f1f1af207725b40022d8d7a9dcd7
NjA,v0.3.1,2018-04-20T06:36:15Z,false,09d05a38912a3c1a906e95099cac9a7e14fae85f
NjE,v0.3.2,2018-04-20T08:02:44Z,false,09d05a38912a3c1a906e95099cac9a7e14fae85f
NjI,v0.3.3,2018-04-21T23:10:39Z,false,cb3376c5dedb71cec7a88b8a8904acc5dd6c6ba1
NjM,v0.3.4,2018-04-24T04:26:51Z,false,ec611470b571c35156723a163fdcacd1f58b1809
NjQ,v0.3.5,2018-04-24T21:03:41Z,false,ec611470b571c35156723a163fdcacd1f58b1809
NjU,v0.3.6,2018-05-04T17:31:53Z,false,e976be13c51448f89107d082ec81e2b6731671fa
NjY,v0.4.0,2018-05-04T17:48:06Z,false,e976be13c51448f89107d082ec81e2b6731671fa
Njc,v0.4.1,2018-05-07T16:22:36Z,false,e976be13c51448f89107d082ec81e2b6731671fa
Njg,v0.4.2,2018-05-07T21:13:53Z,false,e976be13c51448f89107d082ec81e2b6731671fa
Njk,v0.4.3,2018-05-11T07:45:32Z,false,9ae10ef702e76585ea498bdfb2b40181017623ad
NzA,v0.4.4,2018-05-12T04:44:54Z,false,06afdfe54ebef9168a90ca00a6721c2d36e6aafa
NzE,v0.5.0,2018-05-26T21:50:18Z,false,2b1f3dbe25894d7614587f494a25b40fdb344f4a
NzI,v0.5.1,2018-05-29T19:07:33Z,false,1ed25ca7b7e3e3e8047df050bba4174074c9b336
NzM,v0.5.2,2018-06-06T22:28:20Z,false,a83b37d35acd8afd82be3f567a4b7231d5bdb928
NzQ,v0.5.3,2018-06-09T15:23:59Z,false,5d2f24aa5cbdbe3c5d41b2b261873d26f4077c79
NzU,v0.5.4,2018-06-11T18:31:25Z,false,d33bbff47055bc3f1cddfb768881b395c4ac19c2
NzY,v0.5.5,2018-06-14T20:17:08Z,false,c3976b3c7183f479717bffed3f640fb92afbd3dc
Nzc,v0.5.6,2018-06-27T00:01:46Z,false,6fe748490d1772d72274bf8b9efb72c5c2160237
Nzg,v0.5.7,2018-07-09T19:52:41Z,false,6fe748490d1772d72274bf8b9efb72c5c2160237
Nzk,v0.5.8,2018-08-09T16:45:44Z,false,37779318019c397471751fe67ba0fefcd0d720d7
ODA,v0.6.0,2018-08-15T22:35:12Z,false,e3687f70c7ece72000b32ee1b3c02755ba5361ac
ODE,v0.6.1,2018-08-20T19:51:07Z,false,c23690f0d751898a0ed5eab4c5242a9e182b54b0
ODI,v0.6.2,2018-08-21T17:45:37Z,false,4b271b2e0265428fc144c5ce6c1234680631d83e
ODM,v0.7.0,2018-08-22T17:20:51Z,false,4b271b2e0265428fc144c5ce6c1234680631d83e
ODQ,v0.7.1,2018-08-24T02:23:02Z,false,0b728a3140015137a1c5eb81b486afe279ddd981
ODU,v0.7.2,2018-08-27T18:58:30Z,false,af42b6dc95bd9f719e43c4e9f29a00640f0f0bba
ODY,v0.7.3,2018-08-28T19:39:24Z,false,af42b6dc95bd9f719e43c4e9f29a00640f0f0bba
ODc,v0.7.4,2018-08-30T17:09:44Z,false,252da4808277ef1c7de0bdd7f0689fe05c7ec79c
ODg,v0.7.5,2018-08-30T21:47:04Z,false,dc7b5eb89da31cddc2abc91aa5b30bcc6d66e70c
ODk,v0.8.0,2018-09-04T16:12:24Z,false,de4c7a53f21cd0d2dd1cce9ea000e7f6a5398c2f
OTA,v0.8.1,2018-09-07T03:23:13Z,false,9b297b3b51228d5009b47a09cc7c8e9774877f5e
OTE,v0.8.2,2018-09-07T19:33:05Z,false,58a1894a1cd798de2f9a206f157a90d45944028b
OTI,v0.8.3,2018-09-14T01:50:21Z,false,c0e6f6a6e665b8b5f66038819f15701dbfe2f0da
OTM,v0.8.4,2018-09-14T17:11:32Z,false,7a9b430d740b9a7ae4d9a6d44357d83561e1124d
OTQ,v0.8.5,2018-09-16T16:30:34Z,false,72665c6827a566e626bde75a4289609fb65ac657
OTU,v0.8.6,2018-09-17T20:02:34Z,false,b0b19d6ce1d23a5ca766ecc08199df1e27028d43
OTY,v0.8.7,2018-09-18T13:32:39Z,false,9e315e64659ea966eba58bada2b51112b07d284c
OTc,v0.9.0,2018-09-18T17:05:46Z,false,9e315e64659ea966eba58bada2b51112b07d284c
OTg,v0.9.1,2018-09-18T20:39:21Z,false,9e315e64659ea966eba58bada2b51112b07d284c
OTk,v0.9.2,2018-09-19T21:59:23Z,false,2e8e96fad1ada324adca718d13410a98d9bb1036
MTAw,v0.9.3,2018-09-20T23:30:07Z,false,71457a67d0f9b10e8442d6db6d711bf00185ea66
MTAx,v0.9.4,2018-09-25T21:45:40Z,false,74625aed323d04f2add0410e84038d250f51b616
MTAy,v0.9.5,2018-09-26T21:28:26Z,false,38a646e14cc25f5a56a989c6a5787bf74e0ea386
MTAz,v0.9.6,2018-10-02T18:15:17Z,false,f6af1f20ba92a819401d66ae4b2179b0775b0e12
MTA0,v0.10.0,2018-10-09T20:21:06Z,false,bf377896ff0fc190301436ff32a592f3bab75e6b
MTA1,v0.10.1,2018-10-18T22:38:26Z,false,3860a43379fa3a7474427a671c794fa29e555c10
MTA2,v0.10.2,2018-10-26T05:30:21Z,false,6c2ade9fa2b555899530a31cc8cbd1dff3bf5eea
MTA3,v0.11.0,2018-10-30T02:44:36Z,false,162b2e98c036a8f8c355fd475dbe0db4f4bc886c
MTA4,v0.11.1,2018-11-09T18:35:15Z,false,59f79d0d64c915c6ba04099206e3fed5b9d5a4a1
MTA5,v0.11.2,2018-11-09T22:26:21Z,false,316f6365a64bd66fdf9c1ada3ed0a91d9533b9c7
MTEw,v0.11.3,2018-11-10T04:36:17Z,false,5646e86a6f442dc6f4158ae7010ab13d72a0b356
MTEx,v0.11.4,2018-11-12T06:36:47Z,false,5646e86a6f442dc6f4158ae7010ab13d72a0b356
MTEy,v0.11.5,2018-11-13T17:53:56Z,false,4959b71d6a1b1473911970428b16ac02397d930b
MTEz,v0.11.6,2018-11-14T19:09:56Z,false,114d33d3caa24d260f15529e1f3f50783cbccd9a
MTE0,v0.11.7,2018-11-19T16:14:05Z,false,2e06da3df9cb370795f49747fdfd295b8168c133
MTE1,v0.11.8,2018-11-20T15:49:29Z,false,1baf081343530dbaa8bec378fe1ce26b4897c23f
MTE2,v0.11.9,2018-11-21T03:05:23Z,false,5c8147450db52b81232c138b9f9a65a8f9c61862
MTE3,v0.11.10,2018-11-26T22:07:24Z,false,eebc6a58958587203f624528ff46b1d4b2b0f2fa
MTE4,v0.11.11,2018-11-28T02:33:50Z,false,be973ea196127383f356d39be466e2f3bd163083
MTE5,v0.11.12,2018-11-28T23:56:58Z,false,72c7a7567228cdaf8b7aa4a9e3d212ef9d4cc0ed
MTIw,v0.11.13,2018-11-30T00:20:18Z,false,7375a0f414bde4bc941e623482221db2fc8c4ab5
MTIx,v1.0.0,2018-11-30T03:41:26Z,false,7375a0f414bde4bc941e623482221db2fc8c4ab5
MTIy,v1.1.0,2018-12-11T18:50:51Z,false,7375a0f414bde4bc941e623482221db2fc8c4ab5
MTIz,v1.1.1,2018-12-12T03:29:13Z,false,25b58c0c67dc740ec3404ae9dc0d05c5e088f68d
MTI0,v1.1.2,2018-12-14T15:59:31Z,false,101b27da7a1b9906d370fdf0612bf3ff31bd860b
MTI1,v1.1.3,2018-12-19T19:04:42Z,false,526e0e3afb2c6879a7924246521813790c4deb48
MTI2,v1.1.4,2018-12-20T19:38:07Z,false,dbdb5e6f8c9fc8add75d7b5a19bdaa1144a9332e
MTI3,v1.1.5,2018-12-28T18:43:06Z,false,f0a1d6f91d93b0f0e4ba67defd2ef74abb978cdb
MTI4,v1.1.6,2019-01-07T17:42:35Z,false,7112b72cc229e05d36716c3d7739885d3ffa72e6
MTI5,v1.1.7,2019-01-08T17:24:27Z,false,7112b72cc229e05d36716c3d7739885d3ffa72e6
MTMw,v1.1.8,2019-01-08T21:45:55Z,false,7112b72cc229e05d36716c3d7739885d3ffa72e6
MTMx,v1.1.9,2019-01-09T04:40:19Z,false,e5ec3cf3ea5ce78c6c3116271601f60d30a799d4
MTMy,v1.2.0,2019-01-25T19:27:35Z,false,36acd02c9412d0c1e6acbe0fbcb3dd03cda038df
MTMz,v1.2.1,2019-02-15T03:19:53Z,false,3757390fa4b00d2d261bfdf5182d2e87c9113ff9
MTM0,v1.2.2,2019-02-22T04:22:47Z,false,f1f19bba8f0089490962316867bd222727510ac5
MTM1,v1.3.0,2019-02-27T22:49:49Z,false,4434a39c7d545ed47186b2f4d98cd09c8366e720
MTM2,v1.3.1,2019-02-28T01:22:28Z,false,3e4e6f5c54db7a705e6d50f7f3bddfa2ac0d6612
MTM3,v1.3.2,2019-03-01T07:05:45Z,false,99f3f7a9c246f1ebedc6eefd867cde250b370380
MTM4,v1.3.3,2019-03-02T01:48:28Z,false,39c46dea4b7347a252218aaff5caac5dc2fec8cd
MTM5,v1.3.4,2019-03-04T16:43:28Z,false,e9eae9a1af77400d02c498f0ad943f2858845398
MTQw,v1.3.5,2019-03-04T21:09:25Z,false,4f54a1dd944497bd1ec0f2acca22ff9fbd8b377a
MTQx,v1.3.6,2019-03-04T22:26:50Z,false,4f54a1dd944497bd1ec0f2acca22ff9fbd8b377a
MTQy,v1.3.7,2019-03-06T02:18:44Z,false,f4951df193a7966f9ed4da43d555eee0913d84d1
MTQz,v1.3.8,2019-03-06T22:23:37Z,false,f4951df193a7966f9ed4da43d555eee0913d84d1
MTQ0,v1.3.9,2019-03-10T02:19:28Z,false,4e54bc93ca9aaf2156fb06266c9fe509e8599a5f
MTQ1,v1.3.10,2019-03-14T14:21:03Z,false,8b1a299ed52d4ef9521ccd65c6c52d563129d8af
MTQ2,v1.3.11,2019-03-15T06:51:18Z,false,403337ebb893380101d1fa9cc435ce9b6cfeb22c
MTQ3,v1.3.12,2019-03-18T09:02:34Z,false,e75f6de01fee738eb15f24efb0ec549587009f1a
MTQ4,v1.3.13,2019-03-18T18:20:10Z,false,e75f6de01fee738eb15f24efb0ec549587009f1a
MTQ5,v1.3.14,2019-03-21T22:31:46Z,false,d4d4883216fd1c1dfc17d41418a960c002cfff57
MTUw,v1.4.0,2019-03-25T23:21:41Z,false,dd6be2fd83710de8392fb554927a5d495684a13e
MTUx,v1.4.1,2019-03-26T17:05:30Z,false,0d83a2ecd1bb78f8e1f0ed9719ff3751cdfdd064
MTUy,v1.4.2,2019-03-27T00:11:04Z,false,0d83a2ecd1bb78f8e1f0ed9719ff3751cdfdd064
MTUz,v1.4.3,2019-03-27T15:19:22Z,false,0d83a2ecd1bb78f8e1f0ed9719ff3751cdfdd064
MTU0,v1.4.4,2019-03-27T20:56:23Z,false,0d83a2ecd1bb78f8e1f0ed9719ff3751cdfdd064
MTU1,v1.4.5,2019-03-27T23:21:16Z,false,3a3f707d5a9b17388b60ff10b9f65b0c6a3c4134
MTU2,v1.4.6,2019-03-28T17:08:44Z,false,c4d14a00716fa616b69d51bab957aee483bdc9c2
MTU3,v1.4.5-hotfix.2,2019-03-29T17:13:06Z,true,3a3f707d5a9b17388b60ff10b9f65b0c6a3c4134
MTU4,v1.4.6-hotfix.1,2019-03-29T19:40:21Z,true,c4d14a00716fa616b69d51bab957aee483bdc9c2
MTU5,v1.4.7,2019-03-29T17:05:18Z,false,c4d14a00716fa616b69d51bab957aee483bdc9c2
MTYw,v1.4.8,2019-04-01T17:58:30Z,false,a850016454f6d33da64d03dbd1ea71fd0fac299f
MTYx,v1.4.9,2019-04-03T22:38:31Z,false,cc115500b9cb2b27d59627f202e6cd6bb87f49fc
MTYy,v1.4.10,2019-04-04T15:27:41Z,false,5944867cabdb934ef9fea0dccb865cb1acef51b5
MTYz,v1.4.11,2019-04-04T22:14:46Z,false,219bf5938752e0030b491565af1910c137b83dd8
MTY0,v1.4.12,2019-04-08T19:37:43Z,false,ff1bcdc00941188ba27123a4857b443e3c9392bb
MTY1,v1.4.13,2019-04-09T21:40:20Z,false,eec74e5c92313f01a28dfbeb78d96e81231edab7
MTY2,v1.4.14,2019-04-10T00:47:44Z,false,eec74e5c92313f01a28dfbeb78d96e81231edab7
MTY3,v1.4.15,2019-04-10T15:35:03Z,false,905c571db50d5eb3b10eaa4d3c43c99321032223
MTY4,v1.4.16,2019-04-10T21:57:46Z,false,72986c39ea3669ef26d4d7d7cd0c44f513fcd117
MTY5,v1.4.9-hotfix.1,2019-04-11T21:01:46Z,true,4737fc5cd89b8f0136e927b00f2e159444b95a73
MTcw,v1.4.17,2019-04-11T16:32:22Z,false,72986c39ea3669ef26d4d7d7cd0c44f513fcd117
MTcx,v1.4.18,2019-04-11T20:11:22Z,false,72986c39ea3669ef26d4d7d7cd0c44f513fcd117
MTcy,v1.4.19,2019-04-12T14:40:18Z,false,9aa7c9a48e9342a450c3078e15c8d7923a338ede
MTcz,v1.5.0,2019-04-16T04:16:17Z,false,9970fb5500710471c031cb86f899bfc3f4a6bafd
MTc0,v1.5.1,2019-04-16T23:49:39Z,false,c0ee647ca4226fcb38a5af178a97ce8ba9129184
MTc1,v1.5.2,2019-04-17T14:43:19Z,false,fdd427241b7790a1ad86794725b311245ed3b470
MTc2,v1.5.3,2019-04-18T17:19:21Z,false,06fea14e5800c35a4fc4dd10cc31b997f1be81e9
MTc3,v1.5.4,2019-04-22T14:51:33Z,false,ca31a7c57bada458fa7f5c0d3f36bc1af4ccbc79
MTc4,v1.5.5,2019-04-23T17:41:19Z,false,e27c867c30dfa24461a9fab356ff57a4bb22650e
MTc5,v1.5.6,2019-04-24T14:43:01Z,false,c63d1cf9c9ba8c7d8546f24c1248433bdf827153
MTgw,v1.5.7,2019-04-24T18:23:44Z,false,c63d1cf9c9ba8c7d8546f24c1248433bdf827153
MTgx,v1.5.8,2019-04-25T00:18:28Z,false,c63d1cf9c9ba8c7d8546f24c1248433bdf827153
